"aha_id","year","Core","ClinInteropFx","DataUse","breadth_of_exchange","Friction","Barriers","Methods","InfoBlocking","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6214616",2025,97.9166666666667,1,1,0.9375,31.5343915343915,0.2,0.746031746031746,0,1,0,0,0,"Metro","Epic",1,1.5238466
"6214775",2025,16.6666666666667,0.25,0.25,0,34.1798941798942,0.644444444444444,0.0476190476190476,0.333333333333333,1,0,0,0,"Metro","Cerner",NA,1.8599539
"6214885",2025,100,1,1,1,30.5820105820106,0.322222222222222,0.595238095238095,0,1,0,0,0,"Metro","Epic",NA,1.8599539
"6214890",2025,75,0.875,0.5,0.875,43.2275132275132,0.511111111111111,0.452380952380952,0.333333333333333,1,0,0,0,"Metro","Cerner",NA,2.2934027
"6215150",2025,91.6666666666667,1,0.75,1,34.4444444444444,0.0888888888888889,0.944444444444445,0,1,0,0,0,"Metro","Cerner",1,1.4776232
"6215165",2025,75,0.75,0.5,1,21.7989417989418,0.455555555555556,0.198412698412698,0,0,0,1,1,"Rural","Epic",1,1.9884837
"6215280",2025,91.6666666666667,1,1,0.75,21.4285714285714,0,0.642857142857143,0,0,0,1,0,"Micro","Epic",1,1.9884837
"6215295",2025,95.8333333333333,1,1,0.875,29.9470899470899,0.2,0.698412698412698,0,1,0,0,0,"Metro","Epic",1,1.5238466
"6215330",2025,75,1,0.75,0.5,25.7671957671958,0.122222222222222,0.650793650793651,0,0,1,0,0,"Metro","Epic",1,1.490646
"6215460",2025,45.8333333333333,0.875,0.5,0,24.973544973545,0.4,0.349206349206349,0,0,1,0,0,"Metro","Cerner",NA,2.2114289
"6220001",2025,70.8333333333333,1,0.75,0.375,38.8359788359788,0.466666666666667,0.698412698412698,0,1,0,0,0,"Metro","Epic",1,1.5238466
"6220040",2025,81.25,1,0.75,0.6875,23.1746031746032,0.544444444444445,0.150793650793651,0,1,0,0,0,"Metro","Cerner",1,1.7183632
"6220105",2025,18.75,0.25,0.25,0.0625,24.0740740740741,0.722222222222222,0,0,1,0,0,0,"Metro","Epic",1,1.7183632
"6220125",2025,62.5,0.875,0.5,0.5,11.6931216931217,0.144444444444444,0.206349206349206,0,0,1,0,0,"Metro","Cerner",1,1.490646
"6220240",2025,47.9166666666667,0.75,0.25,0.4375,28.9417989417989,0.622222222222222,0.246031746031746,0,0,1,0,0,"Metro","Cerner",1,2.0541086
"6220247",2025,100,1,1,1,36.6137566137566,0.4,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6220322",2025,91.6666666666667,1,1,0.75,21.7460317460317,0.255555555555556,0.396825396825397,0,0,1,0,0,"Metro","Epic",NA,2.2114289
"6220340",2025,100,1,1,1,36.6137566137566,0.4,0.698412698412698,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6220365",2025,95.8333333333333,1,1,0.875,31.8518518518518,0.4,0.555555555555556,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6220395",2025,100,1,1,1,36.6137566137566,0.4,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6220425",2025,100,1,1,1,36.6137566137566,0.4,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6220435",2025,70.8333333333333,1,0.75,0.375,38.8359788359788,0.466666666666667,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.490646
"6220457",2025,62.5,0.875,0.5,0.5,11.6931216931217,0.144444444444444,0.206349206349206,0,0,1,0,0,"Metro","Cerner",1,1.6728343
"6220540",2025,70.8333333333333,1,0.75,0.375,38.8359788359788,0.466666666666667,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.7829912
"6220560",2025,70.8333333333333,1,0.75,0.375,38.8359788359788,0.466666666666667,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6281549
"6220585",2025,100,1,1,1,36.6137566137566,0.4,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6220650",2025,87.5,0.875,1,0.75,39.7354497354497,0.533333333333333,0.658730158730159,0,0,1,0,0,"Metro","Epic",1,1.6605364
"6220680",2025,95.8333333333333,1,1,0.875,31.8518518518518,0.4,0.555555555555556,0,1,0,0,0,"Metro","Epic",1,1.5238466
"6220740",2025,100,1,1,1,36.6137566137566,0.4,0.698412698412698,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6220758",2025,70.8333333333333,1,0.75,0.375,38.8359788359788,0.466666666666667,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6728343
